COUNTRY,PRODUCTION_INDEX,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United Kingdom,Industrial Production,Year-over-year (YOY) percent change,Annual,,,6.534653463,6.133828996,2.276707531,-3.082191781,6.360424028,5.149501661,4.897314378,-0.158800964,2.051611981,-1.467497899,5.907652934,7.048162443,0.522025396,0.952856229,3.869682084,7.162509853,3.017139685,1.204381037,-0.689535828,5.046578648,3.394155927,0.530667654,-0.564694329,1.790123457,8.987265009,-1.991987536,-5.393437039,3.240518483,5.173215531,2.840720681,2.138865004,-6.945175208,-4.071016623,0.247553931,2.610536218,0.641760257,5.112730585,2.231610876,4.100879517,5.171009772,2.080913666,0.018962738,-3.327329605,0.431457148,2.167545401,5.284785933,1.76091495,1.365275631,1.38077086,4.037981009,4.851570756,2.373098772,4.27817059,1.605012445,2.71160669,-1.80E-13,-0.912904022,4.108565737,-1.618432592,-2.37439222,-7.030796049,-2.482142857,-4.861746933,0.654412472,1.988717851,2.034311428,4.704152885,-0.026325026,0.412534012,3.111888112,1.720922347,2.341861822,-3.900651466,-3.448860266,,
Chile,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.519612117,-3.377946228,3.85520606,1.81414728,1.816600974,5.188609425,8.750432975,5.447505673,3.231987616,4.125634344,0.213388129,-6.718366632,1.492892506,3.573912327,3.40237736,3.365530093,0.330059498,0.456496503,-0.849218071,-1.122719471,3.51507867,-0.633510926,-1.012915364,,,,
Tunisia,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,3.408333333,9.412523169,-0.058923179,8.158302012,7.666027831,7.491680211,4.29116567,8.215395237,2.692185008,2.472510406,9.548347984,10.8,11.41696751,7.229647631,3.663833805,-1.093095281,8.620372076,0.3,1.196410768,0.197044335,0.196656834,3.631010795,1.988636364,-0.371402043,7.8,3.803339518,0.268096515,4.901960784,3.143585387,2.711422295,4.323999198,6.931454196,5.337886413,6.278792015,3.654822335,0.391772772,-2.43902439,3.9,0.192492782,2.97790586,10.07462687,1.016949153,-3.523489933,4.347826087,-6.166666667,3.108348135,1.119724376,-1.081771721,-2.436924137,-0.547219771,-1.08482002,-0.518246107,,,,,,
Malaysia,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,9.099999999,8.340971586,1.889452905,9.763354553,13.93809494,11.23713622,0.019895548,15.43587448,8.577090423,9.637359149,8.750407122,5.806795115,3.220530884,5.5,12.41706161,16.02023609,-2.446705427,9.529426373,8.405599955,14.17442225,11.9,12.15370867,11.18857902,8.701104807,9.394572025,12.17858578,13.08314173,11.01200236,10.69360747,-7.200042699,9.0642434,19.12672046,-3.3,4.653567735,9.18972332,10.85972851,4.088435374,5.008333333,2.166782587,0.739596013,-7.535146381,0.066711141,2.390008849,4.213017305,3.39737582,5.181660246,4.718132855,4.116,4.447603314,3.005226214,,,,,,
"San Marino, Republic of",Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,-1.261829653,7.64893817,4.102653631,4.729163173,7.237790232,3.143198447,1.302931596,-4.087173991,7.621247113,1.266786654,-1.100553695,1.410008294,1.947307276,2.224951164,-0.445189284,2.961162336,0.064650912,3.453760259,-2.253195862,12.09428678,-3.943186612,-9.234425478,
Trinidad and Tobago,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34670704,5.941814595,-11.14731208,3.954950236,-8.616780045,22.38764819,-3.919801757,21.64126612,3.797224364,-4.011142061,-0.077384407,2.807357212,11.54425612,9.64038494,-6.405913151,14.14939125,7.411385607,5.725,6.408134311,11.37777778,10.91380686,5.324698687,11.47736977,15.06051785,9.467376831,6.434740299,9.782857143,9.077659796,10.41229242,7.087907339,12.96311244,8.88174348,1.286258039,-4.827005313,-1.436449044,-5.836441497,-5.699405853,-12.25108899,-4.653842744,,,,,,,
Australia,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.865654402,0.6215688,1.592573433,5.371856229,1.48899135,3.072624285,-0.77646736,-3.824035326,6.680489756,5.741286264,-0.956516488,7.698232807,7.748478109,3.633865715,3.928233497,-0.346865124,0.648120794,2.700434939,4.98486531,3.34472101,4.301574543,1.451380345,3.140655313,1.10883627,12.65609783,4.398175225,0.324929972,1.552378825,7.093368525,3.3682481,6.040135108,7.916432453,4.062852678,-11.2371736,9.398496241,4.656357388,-1.666393039,-0.500876534,1.359174427,-0.662196838,4.474627114,2.647950231,1.35975136,4.837102338,-3.517110266,0.352795285,-0.788366757,,
Canada,Industrial Production,Year-over-year (YOY) percent change,Annual,,,3.597122302,7.29166667,9.385113265,4.142011834,7.386363637,-0.264550265,11.14058355,10.50119332,1.52987761,-0.602730012,8.756911004,2.017054773,4.018646519,9.912968335,6.441287134,9.950406247,8.883557262,6.418015689,3.161105973,7.152128243,6.464946677,-1.175297637,5.591492291,8.79794074,11.41531754,1.462351632,-7.376367475,6.515304008,3.519254463,4.20857644,4.868141965,-3.136259417,-0.054209046,-7.653967809,5.448390393,12.47122782,5.077990885,-0.753430801,4.185656187,6.637793227,-0.309691064,-2.752748085,-3.561261245,1.267797326,4.827890935,6.245316598,4.589660216,1.188999995,5.192609127,3.231610221,5.91532837,7.040699562,-3.144639271,1.899453911,0.093396314,2.192318241,2.274517354,-0.20308333,-1.424476182,-3.311114268,-10.77429163,5.996659374,4.763278713,-0.138310912,1.722340419,4.967509929,-0.474576656,-0.129761979,3.681747181,3.373361243,-0.071137778,-7.739541035,4.894330888,3.882976232,,
Algeria,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.827956989,-6.546990496,-1.073446328,-7.367218732,-3.575832306,7.16112532,0.17601432,1.492003931,-0.234741784,1.240470588,1.040737022,0.391086832,1.603004867,-0.305291896,1.649982604,2.139087111,0.054466231,-2.204681546,0.41747843,1.662971175,0.92693566,4.34900054,1.397877297,1.531784529,2.263012321,,,-7.746979389,3.697996918,2.922238732,4.307025987,
Brazil,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.90278058,2.144074235,6.141495116,6.966420654,9.189761972,-10.1796798,0.030873694,-5.178830583,7.099708023,8.491923581,10.93589079,0.870443633,-3.244095066,2.925956944,-8.900964904,-2.609238901,-3.734596951,7.510592149,7.60369627,1.831199363,1.730536237,3.887956338,-2.026484208,-0.653227441,6.64014319,1.5775422,2.788390463,0.322399206,8.363359458,2.80050873,2.66534945,5.953128699,3.076480974,-7.131911096,10.22055116,0.407886948,-2.298300921,2.077911682,-3.014599619,-8.255353324,-6.429947997,2.523296336,0.964612515,-1.080838107,-4.453850613,3.931708495,-0.695314843,,
Cameroon,Industrial Production,Year-over-year (YOY) percent change,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.036396554,-4.103764874,3.709857525,4.60378399,2.087425712,2.501962837,1.312362764,3.215725806,-3.638050591,-0.92738053,2.299232737,2.602565064,10.02680312,6.851954379,0.0227984,-4.921200213,0.808841885,1.404735829,-1.275702236,3.417232561,2.839841303,,,
