Country,Country Code,Series,1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024]
Advanced Economies,AME,"Exports Merchandise, Customs, Price, US$, seas. adj.",..,..,..,..,0.853441431,0.879660737,0.852830212,0.876337224,0.955600384,0.923274528,0.85304898,0.818360233,0.79365252,0.767092244,0.737189266,0.730659586,0.811285364,0.887171416,0.922189811,0.960367331,1.034275043,1.134683859,1.027026866,1.059999151,1.166787606,1.130735089,1.132547379,1.116968687,0.967238241,0.943757634,0.985919417,1.040574588,1.007459118,0.992717551,1.131383132,1.214512481,1.188566531,1.181002756
Advanced Economies,AME,"GDP,constant 2010 LCU,millions,seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"GDP,constant 2010 US$,millions,seas. adj.,",25541539.38,26770612.89,27827200.99,28628154.45,29017759.06,29608195.39,29977497.78,30948851.04,31799436.62,32727382.01,33836763.95,34737337.83,35908672.15,37371888.88,37938902.72,38498178.69,39242878.77,40432149.1,41549323.62,42780521.55,43893617.33,43988068.7,42459825.88,43697442.62,44424888.51,44923781.17,45581801.57,46498254.26,47571535.6,48411528.97,49652862.42,50742899.43,51653908.35,49529704.54,52412216.96,53936191.65,54845261.69,55772313.18
Advanced Economies,AME,"GDP,current LCU,millions,seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"GDP,current US$,millions,seas. adj.,",13957100.65,15766184.82,16457967.17,18431670.76,19654719.88,21119929.62,21375829.41,22989763.63,25396290.11,25529847.04,25017024.49,25121291.92,26448508.41,26893750.67,26622378.31,27804288.76,31193100.42,34574018.09,36397383.95,38301735.72,41853153.04,44201668.29,41706823.49,43524438.13,46764598.35,46572668.27,47032381,48148090.23,45564485.75,46788635.92,48886422.48,51716211.53,52246347.7,51418193.49,57381325.84,58705648.46,62018480.25,64546812.66
Advanced Economies,AME,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",..,..,..,..,3168750.437,3329269.92,3419770.103,3819229.318,4151603.016,4393010.842,4742875.756,4972365.148,5368832.615,5954019.403,5939255.04,6289215.883,6579630.777,7125067.229,7462067.064,7982382.708,8273547.013,8216881.642,7188971.266,8022483.937,8334966.423,8357403.977,8422628.629,8707707.627,9108927.581,9249898.818,9658692.121,9992022.244,10014611.14,9610362.042,10479285.59,10864620.8,10510078.24,10649481.79
Advanced Economies,AME,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",..,..,..,..,3553175.834,3730404.504,3832817.12,4279841.439,4681300.032,4973072.926,5375404.513,5641914.554,6086915.385,6754203.609,6751724.774,7126746.607,7431952.742,8040635.032,8443819.716,9049083.005,9348685.978,9286959.035,8128145.428,9079273.004,9444651.761,9499005.227,9585442.265,9904990.198,10322871.31,10492655,10942657.96,11294387.61,11332439.61,10801778.72,11759757.17,12225713,11819854.69,11968615.21
Advanced Economies,AME,"Imports Merchandise, Customs, current US$, millions, not seas. adj.",..,..,..,..,2410257.026,2554270.255,2487628.007,2865441.263,3437298.186,3567270.299,3607856.944,3590786.785,3798202.224,4277616.202,4088054.378,4205309.558,4897009.831,5861060.689,6540715.905,7432054.383,8387873.819,9445976.705,7149371.033,8429879.465,9923954.536,9705659.12,9719271.706,9866486.834,8647679.465,8487562.715,9363360.601,10320947.8,9956926.891,9235235.209,11534847.53,13161537.01,12264204.94,12297957.89
Advanced Economies,AME,"Imports Merchandise, Customs, current US$, millions, seas. adj.",..,..,..,..,2736455.095,2894201.367,2827399.817,3239083.135,3862299.708,4028432.171,4112251.21,4110326.715,4340494.574,4866629.622,4665732.794,4795738.394,5539913.927,6609698.351,7377772.07,8388605.465,9401942.455,10518844.97,7971262.246,9395526.369,11044343.27,10842493.39,10861551.79,11033553.72,9696906.411,9495608.512,10424918.41,11449534.21,11074707.21,10224568.2,12717748.93,14546932,13591515.8,13634311.72
Advanced Economies,AME,"Imports Merchandise, Customs, Price, US$, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Imports Merchandise, Customs, Price, US$, seas. adj.",..,..,..,..,0.77014345,0.775841162,0.7376819,0.756823163,0.82504853,0.810048883,0.765012419,0.728534024,0.713086071,0.720533449,0.691043096,0.672921132,0.745418347,0.822036857,0.873748175,0.927011661,1.00569668,1.132646858,0.980698773,1.034832455,1.169375383,1.141434616,1.133129958,1.113938883,0.939361358,0.904976721,0.952686124,1.013736611,0.977257112,0.946563382,1.081463567,1.189863691,1.149888569,1.139172033
Advanced Economies,AME,"Industrial Production, constant US$, seas. adj.,,",..,..,..,..,7.10715E+12,7.02889E+12,6.95682E+12,7.26212E+12,7.53064E+12,7.70563E+12,8.10613E+12,8.25221E+12,8.50781E+12,8.93522E+12,8.74064E+12,8.76128E+12,8.89833E+12,9.16485E+12,9.36869E+12,9.70497E+12,9.98667E+12,9.72583E+12,8.4042E+12,9.04535E+12,9.20483E+12,9.24583E+12,9.30306E+12,9.48462E+12,9.50535E+12,9.50099E+12,9.72605E+12,9.90523E+12,9.82114E+12,9.1678E+12,9.71453E+12,9.88276E+12,9.80145E+12,9.68746E+12
Advanced Economies,AME,"Unemployment rate,Percent,,,",..,..,..,5.881664564,6.827574967,7.617799102,8.040763167,7.81217081,7.347190025,7.314975914,7.015908259,6.63991205,6.319303576,5.83936433,5.987539999,6.547596861,6.759647592,6.523721347,6.190187121,5.745193105,5.500498337,5.912382511,8.146331513,8.44774394,8.156480154,8.278393706,8.230689904,7.596393165,6.984023249,6.506621625,5.898424399,5.346208835,5.027988656,6.8892434,5.824117767,4.656616278,4.569345491,4.68959387
Advanced Economies,AME,"Total Reserves,,,,",..,..,..,699886.2021,..,..,..,..,..,..,1199837.744,1227424.54,1258722.659,1362690.788,1407365.276,1624004.404,1973996.473,2274835.427,2238197.572,2404443.042,2587038.958,2640778.221,3131161.35,3444949.366,3806620.956,4090580.994,4223201.865,4232197.234,4320530.16,4459041.5,4907690.222,4937061.462,5087640.053,5705062.862,6264594.168,5446035.39,5525417.543,5486556.409
Advanced Economies,AME,"Retail Sales Volume,Index,,,",..,..,..,..,..,..,53.38887987,56.19681749,60.61538479,60.35659154,57.82844636,56.28956622,59.21989917,59.13659051,58.7959733,63.24257291,73.95138324,83.11355146,87.78516238,93.30990365,104.9991711,111.0656737,98.98395962,100,106.7869121,101.2736151,102.3004243,102.6233742,90.71904149,91.94566686,96.3354564,102.0098259,99.34275313,98.73619296,109.4072733,101.5618093,102.9945631,..
Advanced Economies,AME,"Official exchange rate, LCU per USD, period average,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Advanced Economies,AME,"Months Import Cover of Foreign Reserves,,,,",..,..,..,..,..,..,..,..,..,..,0.29177151,0.298619702,0.289995215,0.280007088,0.301638636,0.338634903,0.356322589,0.3441663,0.303370387,0.286632033,0.27516005,0.25105211,0.392806215,0.366658475,0.344667027,0.377273091,0.388821224,0.383575169,0.445557581,0.469589863,0.470765337,0.431201948,0.459392737,0.557975921,0.492586715,0.374376906,0.406534313,0.402408022
Advanced Economies,AME,"Industrial Production, constant US$,,,",..,..,..,..,7.49408E+12,7.42125E+12,7.33461E+12,7.64269E+12,7.92339E+12,8.10751E+12,8.50937E+12,8.66472E+12,8.92139E+12,9.36744E+12,9.16731E+12,9.17684E+12,9.30674E+12,9.61824E+12,9.81949E+12,1.01664E+13,1.0461E+13,1.02116E+13,8.79762E+12,9.49033E+12,9.64727E+12,9.68639E+12,9.7019E+12,9.88282E+12,9.91394E+12,9.91226E+12,1.01286E+13,1.03301E+13,1.02371E+13,9.56758E+12,1.01371E+13,1.03076E+13,1.0195E+13,1.01116E+13
Afghanistan,AFG,"Core CPI,not seas.adj,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Core CPI,seas.adj,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"CPI Price, % y-o-y, median weighted, seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"CPI Price, % y-o-y, not seas. adj.,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.24715592,6.76652571,8.666757785,26.44383832,-6.791409468,2.186282346,11.82724209,6.441381717,7.381361169,4.669455806,-0.670168199,4.390268725,4.979480676,0.621695467,2.298211972,2.283647902,..,..,..,..
Afghanistan,AFG,"CPI Price, seas. adj.,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.95357327,74.91688188,79.98615196,86.91835801,109.9029081,102.4389516,104.6785563,117.0591425,124.5993688,133.7964982,140.0440665,139.1055357,145.2126426,152.443478,153.3912122,156.9164674,160.499887,..,..,..,..
Afghanistan,AFG,"CPI Price,not seas.adj,,,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.13728303,74.08618048,79.11263633,85.98006522,108.6948437,101.2914756,103.498142,115.7152342,123.1687213,132.2656638,138.4477626,137.5316489,143.5608723,150.7044083,151.6480267,155.1395448,163.8302917,172.2400239,195.8577373,186.7607171,174.4323127
Afghanistan,AFG,"Exchange rate, new LCU per USD extended backward, period average,,",39.28,39.28,39.28,39.28,39.28,39.28,39.28,38.81833333,36.5675,47.5,47.5,47.5,46.62166667,47.35666667,47.49666667,47.26,48.76333333,47.84583333,49.495,49.92666667,49.9625,50.24916667,50.325,46.4525,46.7475,50.92166667,55.3775,57.2475,61.14333333,67.86583333,68.02583333,72.08333333,77.73833333,76.815,77.342,..,..,..
Afghanistan,AFG,"Exchange rate, old LCU per USD extended forward, period average,,",39.28,39.28,39.28,39.28,39.28,39.28,39.28,38.81833333,36.5675,47.5,47.5,47.5,46.62166667,47.35666667,47.49666667,47.26,48.76333333,47.84583333,49.495,49.92666667,49.9625,50.24916667,50.325,46.4525,46.7475,50.92166667,55.3775,57.2475,61.14333333,67.86583333,68.02583333,72.08333333,77.73833333,76.815,77.342,..,..,..
Afghanistan,AFG,"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Exports Merchandise, Customs, constant US$, millions, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Exports Merchandise, Customs, current US$, millions, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Exports Merchandise, Customs, current US$, millions, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Exports Merchandise, Customs, Price, US$, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Exports Merchandise, Customs, Price, US$, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP,constant 2010 LCU,millions,seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP,constant 2010 US$,millions,seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP,current LCU,millions,seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP,current US$,millions,seas. adj.,",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
